aat_id	term
300232418	administrative division
300125766	agricultural complex
300000681	airport
300387007	ancient site
300006165	aqueduct
300000810	archaeological site
300235087	archduchy
300387130	autonomous area
300387107	autonomous region
300264084	barony
300386845	basin
300000835	battlefield
300132316	bay
300387616	biome
300387143	borderland
300007836	bridge
300005903	burial mound
300387004	burial site
300264389	caliphate
300006075	canal
300008439	cantonment
300008850	cape
300008746	cave
300129031	cavern
300266755	cemetery
300387000	ceremonial site
300263489	ceremonial structure
300374944	chiefdom
300008389	city
300005072	city wall
300235115	colony
300387203	community
300000277	concentration camp
300128176	continent
300387506	country
300000771	county
300387171	cultural group
300008932	cultural landscape
300386595	cultural route
300386114	current
300006084	dam
300008760	delta
300235114	dependency
300386860	depression
300008916	desert
300167671	deserted settlement
300000705	district
300387498	drainage basin
300235088	duchy
300386176	dynasty
300128214	empire
300266571	estuary
300008676	fiord
300412029	former territory/colony/dependent state
300006888	fortification
300000750	ghetto
300008835	glacier
300132656	gold mine
300387184	grand duchy
300192630	group of people
300132315	gulf
300008678	harbor
300387499	headland
300386857	highlands
300008777	hill
300008063	historic building
300387178	historical region
300006073	hydraulic structure
300155846	infrastructural system
300008347	inhabited place
300387347	inhabited region
300185707	inlet
300008791	island
300386853	island group
300387062	island nation
300235095	khanate
300235096	kingdom
300008679	lagoon
300008680	lake
300387216	leper colony
300008537	lost settlement
300000455	military base
300164060	military installation
300000390	mine
300410262	mission
300008795	mountain
300386831	mountain range
300128207	nation
300387326	native peoples reservation
300008686	oasis
300008687	ocean
300000401	oil field
300387025	oil terminal
300005734	palace
300417317	palace complex
300259572	pass
300387217	passage
300008321	path
300387318	penal settlement
300008804	peninsula
300265367	pilgrimage route
300008805	plain
300132339	plateau
300386846	point
300236157	political division
300417385	polity
300120599	port
300235118	possession
300235099	prefecture
300387006	prehistoric site
300235101	principality
300000774	province
300008591	railroad
300182722	region (geographic)
300387272	religious center
300263741	religious complex
300236153	religious division
300120364	religious structure
300006191	reservoir
300008707	river
300008217	road
300265365	route
300008057	ruin
300008542	ruined settlement
300386998	sacred site
300266556	salt lake
300008694	sea
300235105	sheikdom
300004790	single built work
300000809	site
300266558	sound
300232420	sovereign state
300008697	spring
300000776	state
300235106	sultanate
300135982	territory
300008375	town
300265366	trade route
300000678	transportation complex
300403959	tribal nation
300006617	university
300008761	valley
300387137	vassal state
300008372	village
300379998	wadi
300008312	walkway
300008736	waterfall
300387029	waterhole
300008899	wetland
300257640	whaling station
300263063	World Heritage Site
